City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,-0.55,95,9,1.34,NZ,1715196002
1,port-aux-francais,-49.35,70.2167,4.89,74,81,7.52,TF,1715196002
2,hermanus,-34.4187,19.2345,10.45,78,0,2.41,ZA,1715196002
3,el colomo,19.05,-104.25,24.99,62,16,4.35,MX,1715196003
4,grytviken,-54.2811,-36.5092,-3.45,69,6,3.06,GS,1715196003
5,padre paraiso,-17.0742,-41.4844,24.88,57,1,2.93,BR,1715196003
6,puerto natales,-51.7236,-72.4875,0.25,100,100,2.06,CL,1715195900
7,puerto ayora,-0.7393,-90.3518,28.98,96,100,0.89,EC,1715196003
8,salinopolis,-0.6136,-47.3561,28.87,72,93,4.47,BR,1715196003
9,tromso,69.6496,18.957,6.01,42,0,5.14,NO,1715196003
10,edinburgh of the seven seas,-37.0676,-12.3116,14.32,67,35,10.7,SH,1715196003
11,dezhou,37.4486,116.2925,19.46,28,21,6.67,CN,1715196003
12,waitangi,-43.9535,-176.5597,9.34,85,100,3.99,NZ,1715196003
13,ushuaia,-54.8,-68.3,3.81,70,20,1.03,AR,1715196003
14,tuy hoa,13.0833,109.3,25.87,91,99,1.4,VN,1715196004
15,klaksvik,62.2266,-6.589,10.51,99,100,4.27,FO,1715196004
16,fortuna,40.5982,-124.1573,17.97,68,0,5.66,US,1715195810
17,chonchi,-42.6128,-73.8092,9.56,90,100,3.25,CL,1715195976
18,vorgashor,67.5833,63.95,-9.55,93,100,3.45,RU,1715196004
19,toguchin,55.2353,84.3858,8.36,62,0,2.31,RU,1715196004
20,chelno-vershiny,54.4333,51.1,2.63,77,4,5.11,RU,1715196004
21,holualoa,19.6228,-155.9522,24.91,72,40,5.14,US,1715196004
22,shenjiamen,29.9576,122.298,14.11,83,100,2.29,CN,1715196004
23,kindu,-2.95,25.95,23.93,89,68,1.23,CD,1715196004
24,iqaluit,63.7506,-68.5145,-1.15,80,75,7.2,CA,1715195731
25,gisborne,-38.6533,178.0042,11.53,74,77,6.59,NZ,1715196004
26,cidreira,-30.1811,-50.2056,23.65,83,100,5.57,BR,1715196005
27,preobrazheniye,42.9019,133.9064,5.22,84,8,2.63,RU,1715196005
28,albany,42.6001,-73.9662,26.62,63,7,0.45,US,1715195774
29,adamstown,-25.066,-130.1015,22.0,79,100,3.71,PN,1715196005
30,agria,47.9026,20.3733,14.37,79,100,2.7,HU,1715196005
31,port-vila,-17.7338,168.3219,23.03,63,100,5.53,VU,1715196005
32,bata,1.8639,9.7658,27.4,87,100,2.45,GQ,1715196005
33,new norfolk,-42.7826,147.0587,11.07,99,95,0.67,AU,1715196005
34,dzuunharaa,48.8523,106.4579,9.08,78,100,1.34,MN,1715196006
35,matam,15.6175,-13.3303,40.68,16,0,3.7,SN,1715196006
36,east london,-33.0153,27.9116,21.49,83,99,4.81,ZA,1715196006
37,longyearbyen,78.2186,15.6401,0.91,60,20,3.6,SJ,1715196006
38,grojec,51.8625,20.8676,14.08,50,100,4.09,PL,1715196006
39,blackmans bay,-43.0167,147.3167,10.41,96,79,2.02,AU,1715196006
40,kapuskasing,49.4169,-82.4331,10.05,57,75,4.63,CA,1715195806
41,kerikeri,-35.2268,173.9474,9.95,84,5,1.34,NZ,1715196006
42,villa huidobro,-34.8383,-64.5869,15.14,22,0,8.07,AR,1715196006
43,ingeniero guillermo n. juarez,-23.9,-61.85,22.18,92,100,9.32,AR,1715196006
44,caleta de carquin,-11.0925,-77.6267,21.61,77,42,3.38,PE,1715196006
45,aras-asan,8.8908,126.3033,25.1,86,7,1.87,PH,1715196006
46,constantia,44.1833,28.65,11.5,86,31,7.14,RO,1715195809
47,la passe,45.5549,-0.8967,19.13,82,43,4.21,FR,1715196007
48,prineville,44.2999,-120.8345,13.95,46,0,0.89,US,1715196007
49,brisas de zicatela,15.8369,-97.0419,29.29,74,75,5.14,MX,1715196007
50,altai,46.3722,96.2583,7.92,65,61,3.27,MN,1715196007
51,machali,-34.1833,-70.6667,12.6,54,0,4.12,CL,1715196007
52,miyako,39.6367,141.9525,7.14,92,100,1.41,JP,1715196007
53,aasiaat,68.7098,-52.8699,-3.84,71,86,4.58,GL,1715196007
54,punta arenas,-53.15,-70.9167,4.06,81,75,2.06,CL,1715195295
55,saipan,15.1355,145.701,28.39,78,40,5.66,MP,1715196007
56,barclayville,4.6797,-8.2339,26.21,91,100,2.36,LR,1715196008
57,hithadhoo,-0.6,73.0833,27.97,80,100,6.5,MV,1715196008
58,vilyuchinsk,52.9306,158.4028,2.15,82,100,3.16,RU,1715196008
59,anar darah,32.7587,61.654,30.74,25,100,0.95,AF,1715196008
60,harstad,68.799,16.5293,4.53,95,100,8.05,NO,1715196008
61,ponta delgada,37.7333,-25.6667,18.44,82,40,9.26,PT,1715196008
62,port mathurin,-19.6833,63.4167,25.57,67,90,12.05,MU,1715196008
63,ta`u,-14.2336,-169.5144,28.89,79,97,5.5,AS,1715196008
64,yellowknife,62.456,-114.3525,14.67,55,20,5.14,CA,1715196008
65,minas de marcona,-15.2119,-75.1103,18.38,68,73,8.51,PE,1715196008
66,tamanrasset,22.785,5.5228,31.95,9,0,4.12,DZ,1715196008
67,aswan,24.0934,32.907,28.16,9,11,4.48,EG,1715195632
68,fale old settlement,-9.3852,-171.2468,29.53,76,69,5.03,TK,1715196009
69,nha trang,12.25,109.1833,29.0,89,49,1.93,VN,1715196009
70,konigs wusterhausen,52.3014,13.633,15.1,44,0,3.09,DE,1715196009
71,sheridan,44.8333,-106.9173,7.21,85,100,11.83,US,1715196009
72,kapa'a,22.0752,-159.319,26.99,80,100,4.63,US,1715195803
73,hamilton,39.1834,-84.5333,30.14,52,20,3.09,US,1715195909
74,kimbe,-5.5502,150.1429,24.75,97,100,0.33,PG,1715196009
75,buka,40.8108,69.1986,25.84,36,100,2.56,UZ,1715196009
76,bethel,41.3712,-73.414,29.09,65,75,3.09,US,1715195809
77,chibougamau,49.9168,-74.3659,9.79,53,100,4.12,CA,1715196010
78,hawaiian paradise park,19.5933,-154.9731,25.73,74,40,1.54,US,1715196010
79,tashtagol,52.7657,87.8894,7.99,82,15,1.06,RU,1715196010
80,kourou,5.1552,-52.6478,30.03,73,99,4.01,GF,1715196010
81,kingston,17.997,-76.7936,28.98,76,100,1.81,JM,1715195809
82,ust'-ilimsk,58.0006,102.6619,7.47,58,100,2.24,RU,1715196010
83,sabang,5.8933,95.3214,29.55,73,98,3.38,ID,1715196010
84,wailua homesteads,22.0669,-159.378,26.24,80,100,4.63,US,1715196010
85,san antonio de pale,-1.4014,5.6325,27.05,89,24,4.12,GQ,1715196011
86,brownwood,31.7093,-98.9912,33.62,38,0,6.69,US,1715196011
87,byron bay,-28.65,153.6167,15.95,82,100,2.54,AU,1715195734
88,khandyga,62.6667,135.6,0.73,95,100,1.68,RU,1715196011
89,chepo,9.1667,-79.1,30.98,69,100,0.94,PA,1715196011
90,nemuro,43.3236,145.575,2.75,84,8,2.86,JP,1715196011
91,san patricio,28.017,-97.5169,32.87,53,100,4.58,US,1715196011
92,verkhnevilyuysk,63.4453,120.3167,-3.26,89,96,3.84,RU,1715196011
93,bilibino,68.0546,166.4372,-4.55,91,100,1.14,RU,1715196011
94,pangody,65.85,74.4859,-14.12,100,87,2.66,RU,1715196011
